,city,venue,dow,time,urls
0,(Austin),Black Star Co-Op Pub and Brewery,Sunday,8:00 PM,https://www.geekswhodrink.com/venue/19199768/trivia-at-Black-Star-Co-Op-Pub-and-Brewery
1,(Dallas),Four Corners Brewing,Sunday,5:00 PM,https://www.geekswhodrink.com/venue/771599801/trivia-at-Four-Corners-Brewing
2,(El Paso),"Glass Half Full (El Paso, Sunday)",Sunday,5:00 PM,https://www.geekswhodrink.com/venue/613308526/trivia-at-Glass-Half-Full-El-Paso-Sunday-
3,(Wylie),Good Neighbor Brews,Sunday,5:00 PM,https://www.geekswhodrink.com/venue/576262892/trivia-at-Good-Neighbor-Brews
4,(Grapevine),Grapevine Craft Brewery (Sunday),Sunday,5:00 PM,https://www.geekswhodrink.com/venue/654369627/trivia-at-Grapevine-Craft-Brewery-Sunday-
5,(Austin),The Cavalier,Sunday,7:00 PM,https://www.geekswhodrink.com/venue/859909510/trivia-at-The-Cavalier
6,(Austin),The Highball,Sunday,7:00 PM,https://www.geekswhodrink.com/venue/16729898/trivia-at-The-Highball
7,(Houston),Town in City Brewing Company (Sunday),Sunday,6:00 PM,https://www.geekswhodrink.com/venue/461210058/trivia-at-Town-in-City-Brewing-Company-Sunday-
8,(Denton),Vetted Well (Denton),Sunday,7:00 PM,https://www.geekswhodrink.com/venue/882376710/trivia-at-Vetted-Well-Denton-
9,(Austin),400 Rabbits at Alamo Drafthouse Slaughter Lane,Monday,8:00 PM,https://www.geekswhodrink.com/venue/37034165/trivia-at-400-Rabbits-at-Alamo-Drafthouse-Slaughte
10,(Denton),Armadillo Ale Works,Monday,8:00 PM,https://www.geekswhodrink.com/venue/870807836/trivia-at-Armadillo-Ale-Works
11,(Austin),Austin Eastciders Collaboratory,Monday,8:00 PM,https://www.geekswhodrink.com/venue/736622458/trivia-at-Austin-Eastciders-Collaboratory
12,(Houston),Cedar Creek,Monday,8:00 PM,https://www.geekswhodrink.com/venue/18587205/trivia-at-Cedar-Creek
13,(Houston),Christian's Tailgate (Midtown),Monday,8:00 PM,https://www.geekswhodrink.com/venue/37051959/trivia-at-Christian-s-Tailgate-Midtown-
14,(Corpus Christi),Executive Surf Club,Monday,7:30 PM,https://www.geekswhodrink.com/venue/20762997/trivia-at-Executive-Surf-Club
15,(League City),Fuzzy's Taco Shop (League City),Monday,8:00 PM,https://www.geekswhodrink.com/venue/576248653/trivia-at-Fuzzy-s-Taco-Shop-League-City-
16,(Austin),Glass Half Full (Lakeline),Monday,8:00 PM,https://www.geekswhodrink.com/venue/164279323/trivia-at-Glass-Half-Full-Lakeline-
17,(Richardson),Glass Half Full (Richardson) (Monday),Monday,8:00 PM,https://www.geekswhodrink.com/venue/595860135/trivia-at-Glass-Half-Full-Richardson-Monday-
18,(Austin),Gourdough's Public House (South Lamar),Monday,8:00 PM,https://www.geekswhodrink.com/venue/40774511/trivia-at-Gourdough-s-Public-House-South-Lamar-
19,(Austin),Growler USA (Austin),Monday,8:00 PM,https://www.geekswhodrink.com/venue/740178717/trivia-at-Growler-USA-Austin-
20,(Houston),Handlebar Houston,Monday,8:00 PM,https://www.geekswhodrink.com/venue/813515030/trivia-at-Handlebar-Houston
21,(Dallas),High Fives,Monday,8:00 PM,https://www.geekswhodrink.com/venue/304441971/trivia-at-High-Fives
22,(Dallas),Ill Minister Pub,Monday,8:00 PM,https://www.geekswhodrink.com/venue/852582039/trivia-at-Ill-Minister-Pub
23,(Austin),Javelina,Monday,8:00 PM,https://www.geekswhodrink.com/venue/530191843/trivia-at-Javelina
24,(Buda),Nate's at Buda Mill and Grain,Monday,8:00 PM,https://www.geekswhodrink.com/venue/493454810/trivia-at-Nate-s-at-Buda-Mill-and-Grain
25,(Houston),Pimlico,Monday,8:00 PM,https://www.geekswhodrink.com/venue/275361127/trivia-at-Pimlico
26,(Corpus Christi),South Texas Ice House,Monday,8:00 PM,https://www.geekswhodrink.com/venue/853426844/trivia-at-South-Texas-Ice-House
27,(San Antonio),Southtown 101 (Monday),Monday,7:00 PM,https://www.geekswhodrink.com/venue/37246364/trivia-at-Southtown-101-Monday-
28,(Flower Mound),State Draft House,Monday,7:00 PM,https://www.geekswhodrink.com/venue/708433838/trivia-at-State-Draft-House
29,(Dallas),The Foundry,Monday,7:00 PM,https://www.geekswhodrink.com/venue/354007115/trivia-at-The-Foundry
30,(Addison),The Londoner (Addison),Monday,8:00 PM,https://www.geekswhodrink.com/venue/480834452/trivia-at-The-Londoner-Addison-
31,(Dallas),The Lot,Monday,8:00 PM,https://www.geekswhodrink.com/venue/97527834/trivia-at-The-Lot
32,(Kyle),The Railhouse,Monday,8:00 PM,https://www.geekswhodrink.com/venue/797686693/trivia-at-The-Railhouse
33,(San Marcos),The Spot Cinema Eatery and Social Haus,Monday,7:00 PM,https://www.geekswhodrink.com/venue/799413207/trivia-at-The-Spot-Cinema-Eatery-and-Social-Haus
34,(Fort Worth),Twilite Lounge,Monday,8:00 PM,https://www.geekswhodrink.com/venue/816118877/trivia-at-Twilite-Lounge
35,(Dallas),Vetted Well (Lake Highlands),Monday,8:00 PM,https://www.geekswhodrink.com/venue/809166343/trivia-at-Vetted-Well-Lake-Highlands-
36,(Addison),Addison Ice House,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/99832126/trivia-at-Addison-Ice-House
37,(Katy),Alamo Drafthouse (LaCenterra),Tuesday,7:30 PM,https://www.geekswhodrink.com/venue/846261672/trivia-at-Alamo-Drafthouse-LaCenterra-
38,(Austin),Barrel O' Fun (Alamo Drafthouse Mueller),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/568505118/trivia-at-Barrel-O-Fun-Alamo-Drafthouse-Mueller-
39,(Austin),Big Daddy's Burgers and Bar,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/156120402/trivia-at-Big-Daddy-s-Burgers-and-Bar
40,(Round Rock),Buffalo Wings and Rings,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/767416492/trivia-at-Buffalo-Wings-and-Rings
41,(Dallas),Cedar Springs Tap House,Tuesday,7:00 PM,https://www.geekswhodrink.com/venue/227541423/trivia-at-Cedar-Springs-Tap-House
42,(Austin),Celis Brewery,Tuesday,7:00 PM,https://www.geekswhodrink.com/venue/688089768/trivia-at-Celis-Brewery
43,(Clute),Center Court Pizza & Brew (Clute),Tuesday,7:00 PM,https://www.geekswhodrink.com/venue/644625017/trivia-at-Center-Court-Pizza-amp-Brew-Clute-
44,(Houston),Christian's Tailgate (Heights),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/37051895/trivia-at-Christian-s-Tailgate-Heights-
45,(San Antonio),Claude Hopper's,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/37233337/trivia-at-Claude-Hopper-s
46,(Houston),Conservatory Food Hall & Beer Garden,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/452372971/trivia-at-Conservatory-Food-Hall-amp-Beer-Garden
